"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
547,C150,TAKA,Rubber V Belt TAKA C150,CR.CT.150.TA,381,401039,TAKA tr?n C150,,18
548,C151,TAKA,Rubber V Belt TAKA C151,CR.CT.151.TA,383.5,401039,TAKA tr?n C151,,18
549,C152,TAKA,Rubber V Belt TAKA C152,CR.CT.152.TA,386.1,401039,TAKA tr?n C152,,18
550,C153,TAKA,Rubber V Belt TAKA C153,CR.CT.153.TA,388.6,401039,TAKA tr?n C153,,18
551,C154,TAKA,Rubber V Belt TAKA C154,CR.CT.154.TA,391.2,401039,TAKA tr?n C154,,18
552,C155,TAKA,Rubber V Belt TAKA C155,CR.CT.155.TA,393.7,401039,TAKA tr?n C155,,18
553,C156,TAKA,Rubber V Belt TAKA C156,CR.CT.156.TA,396.2,401039,TAKA tr?n C156,,18
554,C157,TAKA,Rubber V Belt TAKA C157,CR.CT.157.TA,398.8,401039,TAKA tr?n C157,,18
555,C158,TAKA,Rubber V Belt TAKA C158,CR.CT.158.TA,401.3,401039,TAKA tr?n C158,,18
556,C159,TAKA,Rubber V Belt TAKA C159,CR.CT.159.TA,403.9,401039,TAKA tr?n C159,,18
557,C160,TAKA,Rubber V Belt TAKA C160,CR.CT.160.TA,406.4,401039,TAKA tr?n C160,,18
558,C161,TAKA,Rubber V Belt TAKA C161,CR.CT.161.TA,408.9,401039,TAKA tr?n C161,,15
559,C162,TAKA,Rubber V Belt TAKA C162,CR.CT.162.TA,411.5,401039,TAKA tr?n C162,,15
560,C163,TAKA,Rubber V Belt TAKA C163,CR.CT.163.TA,414,401039,TAKA tr?n C163,,15
561,C164,TAKA,Rubber V Belt TAKA C164,CR.CT.164.TA,416.6,401039,TAKA tr?n C164,,15
562,C165,TAKA,Rubber V Belt TAKA C165,CR.CT.165.TA,419.1,401039,TAKA tr?n C165,,15
563,C166,TAKA,Rubber V Belt TAKA C166,CR.CT.166.TA,421.6,401039,TAKA tr?n C166,,15
564,C167,TAKA,Rubber V Belt TAKA C167,CR.CT.167.TA,424.2,401039,TAKA tr?n C167,,15
565,C168,TAKA,Rubber V Belt TAKA C168,CR.CT.168.TA,426.7,401039,TAKA tr?n C168,,15
566,C169,TAKA,Rubber V Belt TAKA C169,CR.CT.169.TA,429.3,401039,TAKA tr?n C169,,15
567,C170,TAKA,Rubber V Belt TAKA C170,CR.CT.170.TA,431.8,401039,TAKA tr?n C170,,15
568,C171,TAKA,Rubber V Belt TAKA C171,CR.CT.171.TA,434.3,401039,TAKA tr?n C171,,15
569,C172,TAKA,Rubber V Belt TAKA C172,CR.CT.172.TA,436.9,401039,TAKA tr?n C172,,15
570,C173,TAKA,Rubber V Belt TAKA C173,CR.CT.173.TA,439.4,401039,TAKA tr?n C173,,15
571,C174,TAKA,Rubber V Belt TAKA C174,CR.CT.174.TA,442,401039,TAKA tr?n C174,,15
572,C175,TAKA,Rubber V Belt TAKA C175,CR.CT.175.TA,444.5,401039,TAKA tr?n C175,,15
573,C176,TAKA,Rubber V Belt TAKA C176,CR.CT.176.TA,447,401039,TAKA tr?n C176,,15
574,C177,TAKA,Rubber V Belt TAKA C177,CR.CT.177.TA,449.6,401039,TAKA tr?n C177,,15
575,C178,TAKA,Rubber V Belt TAKA C178,CR.CT.178.TA,452.1,401039,TAKA tr?n C178,,15
576,C179,TAKA,Rubber V Belt TAKA C179,CR.CT.179.TA,454.7,401039,TAKA tr?n C179,,15
577,C180,TAKA,Rubber V Belt TAKA C180,CR.CT.180.TA,457.2,401039,TAKA tr?n C180,,15
578,C181,TAKA,Rubber V Belt TAKA C181,CR.CT.181.TA,459.7,401039,TAKA tr?n C181,,15
579,C182,TAKA,Rubber V Belt TAKA C182,CR.CT.182.TA,462.3,401039,TAKA tr?n C182,,15
580,C183,TAKA,Rubber V Belt TAKA C183,CR.CT.183.TA,464.8,401039,TAKA tr?n C183,,15
581,C184,TAKA,Rubber V Belt TAKA C184,CR.CT.184.TA,467.4,401039,TAKA tr?n C184,,15
582,C185,TAKA,Rubber V Belt TAKA C185,CR.CT.185.TA,469.9,401039,TAKA tr?n C185,,15
583,C186,TAKA,Rubber V Belt TAKA C186,CR.CT.186.TA,472.4,401039,TAKA tr?n C186,,15
584,C187,TAKA,Rubber V Belt TAKA C187,CR.CT.187.TA,475,401039,TAKA tr?n C187,,15
585,C188,TAKA,Rubber V Belt TAKA C188,CR.CT.188.TA,477.5,401039,TAKA tr?n C188,,15
586,C189,TAKA,Rubber V Belt TAKA C189,CR.CT.189.TA,480.1,401039,TAKA tr?n C189,,15
587,C190,TAKA,Rubber V Belt TAKA C190,CR.CT.190.TA,482.6,401039,TAKA tr?n C190,,15
588,C191,TAKA,Rubber V Belt TAKA C191,CR.CT.191.TA,485.1,401039,TAKA tr?n C191,,15
589,C192,TAKA,Rubber V Belt TAKA C192,CR.CT.192.TA,487.7,401039,TAKA tr?n C192,,15
590,C193,TAKA,Rubber V Belt TAKA C193,CR.CT.193.TA,490.2,401039,TAKA tr?n C193,,15
591,C194,TAKA,Rubber V Belt TAKA C194,CR.CT.194.TA,492.8,401039,TAKA tr?n C194,,15
592,C195,TAKA,Rubber V Belt TAKA C195,CR.CT.195.TA,495.3,401039,TAKA tr?n C195,,15
593,C196,TAKA,Rubber V Belt TAKA C196,CR.CT.196.TA,497.8,401039,TAKA tr?n C196,,15
594,C197,TAKA,Rubber V Belt TAKA C197,CR.CT.197.TA,500.4,401039,TAKA tr?n C197,,15
595,C198,TAKA,Rubber V Belt TAKA C198,CR.CT.198.TA,502.9,401039,TAKA tr?n C198,,15
596,C199,TAKA,Rubber V Belt TAKA C199,CR.CT.199.TA,505.5,401039,TAKA tr?n C199,,15
597,C200,TAKA,Rubber V Belt TAKA C200,CR.CT.200.TA,508,401039,TAKA tr?n C200,,15
598,C201,TAKA,Rubber V Belt TAKA C201,CR.CT.201.TA,510.5,401039,TAKA tr?n C201,,10
599,C202,TAKA,Rubber V Belt TAKA C202,CR.CT.202.TA,513.1,401039,TAKA tr?n C202,,10
600,C203,TAKA,Rubber V Belt TAKA C203,CR.CT.203.TA,515.6,401039,TAKA tr?n C203,,10
601,C204,TAKA,Rubber V Belt TAKA C204,CR.CT.204.TA,518.2,401039,TAKA tr?n C204,,10
602,C205,TAKA,Rubber V Belt TAKA C205,CR.CT.205.TA,520.7,401039,TAKA tr?n C205,,10
603,C206,TAKA,Rubber V Belt TAKA C206,CR.CT.206.TA,523.2,401039,TAKA tr?n C206,,10
604,C207,TAKA,Rubber V Belt TAKA C207,CR.CT.207.TA,525.8,401039,TAKA tr?n C207,,10
605,C208,TAKA,Rubber V Belt TAKA C208,CR.CT.208.TA,528.3,401039,TAKA tr?n C208,,10
606,C209,TAKA,Rubber V Belt TAKA C209,CR.CT.209.TA,530.9,401039,TAKA tr?n C209,,10
607,C210,TAKA,Rubber V Belt TAKA C210,CR.CT.210.TA,533.4,401039,TAKA tr?n C210,,10
608,C211,TAKA,Rubber V Belt TAKA C211,CR.CT.211.TA,535.9,401039,TAKA tr?n C211,,10
609,C212,TAKA,Rubber V Belt TAKA C212,CR.CT.212.TA,538.5,401039,TAKA tr?n C212,,10
610,C213,TAKA,Rubber V Belt TAKA C213,CR.CT.213.TA,541,401039,TAKA tr?n C213,,10
611,C214,TAKA,Rubber V Belt TAKA C214,CR.CT.214.TA,543.6,401039,TAKA tr?n C214,,10
612,C215,TAKA,Rubber V Belt TAKA C215,CR.CT.215.TA,546.1,401039,TAKA tr?n C215,,10
613,C216,TAKA,Rubber V Belt TAKA C216,CR.CT.216.TA,548.6,401039,TAKA tr?n C216,,10
614,C217,TAKA,Rubber V Belt TAKA C217,CR.CT.217.TA,551.2,401039,TAKA tr?n C217,,10
615,C218,TAKA,Rubber V Belt TAKA C218,CR.CT.218.TA,553.7,401039,TAKA tr?n C218,,10
616,C219,TAKA,Rubber V Belt TAKA C219,CR.CT.219.TA,556.3,401039,TAKA tr?n C219,,10
617,C220,TAKA,Rubber V Belt TAKA C220,CR.CT.220.TA,558.8,401039,TAKA tr?n C220,,10
618,C52,TAKA,Rubber V Belt TAKA C52,CR.CT.052.TA,132.1,401032,TAKA tr?n C52,,40
619,C60,TAKA,Rubber V Belt TAKA C60,CR.CT.060.TA,152.4,401032,TAKA tr?n C60,,35
620,C61,TAKA,Rubber V Belt TAKA C61,CR.CT.061.TA,154.9,401032,TAKA tr?n C61,,35
621,C62,TAKA,Rubber V Belt TAKA C62,CR.CT.062.TA,157.5,401032,TAKA tr?n C62,,35
622,C63,TAKA,Rubber V Belt TAKA C63,CR.CT.063.TA,160,401032,TAKA tr?n C63,,35
623,C64,TAKA,Rubber V Belt TAKA C64,CR.CT.064.TA,162.6,401032,TAKA tr?n C64,,35
624,C65,TAKA,Rubber V Belt TAKA C65,CR.CT.065.TA,165.1,401032,TAKA tr?n C65,,35
625,C66,TAKA,Rubber V Belt TAKA C66,CR.CT.066.TA,167.6,401032,TAKA tr?n C66,,35
626,C67,TAKA,Rubber V Belt TAKA C67,CR.CT.067.TA,170.2,401032,TAKA tr?n C67,,35
627,C68,TAKA,Rubber V Belt TAKA C68,CR.CT.068.TA,172.7,401032,TAKA tr?n C68,,35
628,C69,TAKA,Rubber V Belt TAKA C69,CR.CT.069.TA,175.3,401032,TAKA tr?n C69,,35
629,C70,TAKA,Rubber V Belt TAKA C70,CR.CT.070.TA,177.8,401032,TAKA tr?n C70,,35
630,C71,TAKA,Rubber V Belt TAKA C71,CR.CT.071.TA,180.3,401034,TAKA tr?n C71,,35
631,C72,TAKA,Rubber V Belt TAKA C72,CR.CT.072.TA,182.9,401034,TAKA tr?n C72,,35
632,C73,TAKA,Rubber V Belt TAKA C73,CR.CT.073.TA,185.4,401034,TAKA tr?n C73,,35
633,C74,TAKA,Rubber V Belt TAKA C74,CR.CT.074.TA,188,401034,TAKA tr?n C74,,35
634,C75,TAKA,Rubber V Belt TAKA C75,CR.CT.075.TA,190.5,401034,TAKA tr?n C75,,35
635,C76,TAKA,Rubber V Belt TAKA C76,CR.CT.076.TA,193,401034,TAKA tr?n C76,,35
636,C77,TAKA,Rubber V Belt TAKA C77,CR.CT.077.TA,195.6,401034,TAKA tr?n C77,,35
637,C78,TAKA,Rubber V Belt TAKA C78,CR.CT.078.TA,198.1,401034,TAKA tr?n C78,,35
638,C79,TAKA,Rubber V Belt TAKA C79,CR.CT.079.TA,200.7,401034,TAKA tr?n C79,,35
639,C80,TAKA,Rubber V Belt TAKA C80,CR.CT.080.TA,203.2,401034,TAKA tr?n C80,,25
640,C81,TAKA,Rubber V Belt TAKA C81,CR.CT.081.TA,205.7,401034,TAKA tr?n C81,,25
641,C82,TAKA,Rubber V Belt TAKA C82,CR.CT.082.TA,208.3,401034,TAKA tr?n C82,,25
642,C83,TAKA,Rubber V Belt TAKA C83,CR.CT.083.TA,210.8,401034,TAKA tr?n C83,,25
643,C84,TAKA,Rubber V Belt TAKA C84,CR.CT.084.TA,213.4,401034,TAKA tr?n C84,,25
644,C85,TAKA,Rubber V Belt TAKA C85,CR.CT.085.TA,215.9,401034,TAKA tr?n C85,,25
645,C86,TAKA,Rubber V Belt TAKA C86,CR.CT.086.TA,218.4,401034,TAKA tr?n C86,,25
646,C87,TAKA,Rubber V Belt TAKA C87,CR.CT.087.TA,221,401034,TAKA tr?n C87,,25
647,C88,TAKA,Rubber V Belt TAKA C88,CR.CT.088.TA,223.5,401034,TAKA tr?n C88,,25
648,C89,TAKA,Rubber V Belt TAKA C89,CR.CT.089.TA,226.1,401034,TAKA tr?n C89,,25
649,C90,TAKA,Rubber V Belt TAKA C90,CR.CT.090.TA,228.6,401034,TAKA tr?n C90,,25
650,C91,TAKA,Rubber V Belt TAKA C91,CR.CT.091.TA,231.1,401034,TAKA tr?n C91,,25
651,C92,TAKA,Rubber V Belt TAKA C92,CR.CT.092.TA,233.7,401034,TAKA tr?n C92,,25
652,C93,TAKA,Rubber V Belt TAKA C93,CR.CT.093.TA,236.2,401034,TAKA tr?n C93,,25
653,C94,TAKA,Rubber V Belt TAKA C94,CR.CT.094.TA,238.8,401034,TAKA tr?n C94,,25
654,C95,TAKA,Rubber V Belt TAKA C95,CR.CT.095.TA,241.3,401039,TAKA tr?n C95,,25
655,C96,TAKA,Rubber V Belt TAKA C96,CR.CT.096.TA,243.8,401039,TAKA tr?n C96,,25
656,C97,TAKA,Rubber V Belt TAKA C97,CR.CT.097.TA,246.4,401039,TAKA tr?n C97,,25
657,C98,TAKA,Rubber V Belt TAKA C98,CR.CT.098.TA,248.9,401039,TAKA tr?n C98,,25
658,C99,TAKA,Rubber V Belt TAKA C99,CR.CT.099.TA,251.5,401039,TAKA tr?n C99,,25
659,D96,TAKA,Rubber V Belt TAKA D96,CR.DT.096.TA,243.8,401039,TAKA tr?n D96,,14
660,FM20,TAKA,Rubber V Belt TAKA FM20,CR.FMT.020.TA,50.8,401039,TAKA tr?n FM20,,400
661,FM21,TAKA,Rubber V Belt TAKA FM21,CR.FMT.021.TA,53.3,401039,TAKA tr?n FM21,,400
662,FM22,TAKA,Rubber V Belt TAKA FM22,CR.FMT.022.TA,55.9,401039,TAKA tr?n FM22,,400
663,FM23,TAKA,Rubber V Belt TAKA FM23,CR.FMT.023.TA,58.4,401039,TAKA tr?n FM23,,400
664,FM24,TAKA,Rubber V Belt TAKA FM24,CR.FMT.024.TA,61,401032,TAKA tr?n FM24,,400
665,FM25,TAKA,Rubber V Belt TAKA FM25,CR.FMT.025.TA,63.5,401032,TAKA tr?n FM25,,400
666,FM26,TAKA,Rubber V Belt TAKA FM26,CR.FMT.026.TA,66,401032,TAKA tr?n FM26,,400
667,FM27,TAKA,Rubber V Belt TAKA FM27,CR.FMT.027.TA,68.6,401032,TAKA tr?n FM27,,400
668,FM28,TAKA,Rubber V Belt TAKA FM28,CR.FMT.028.TA,71.1,401032,TAKA tr?n FM28,,400
669,FM29,TAKA,Rubber V Belt TAKA FM29,CR.FMT.029.TA,73.7,401032,TAKA tr?n FM29,,350
670,FM30,TAKA,Rubber V Belt TAKA FM30,CR.FMT.030.TA,76.2,401032,TAKA tr?n FM30,,350
671,FM31,TAKA,Rubber V Belt TAKA FM31,CR.FMT.031.TA,78.7,401032,TAKA tr?n FM31,,350
672,FM32,TAKA,Rubber V Belt TAKA FM32,CR.FMT.032.TA,81.3,401032,TAKA tr?n FM32,,250
673,FM33,TAKA,Rubber V Belt TAKA FM33,CR.FMT.033.TA,83.8,401032,TAKA tr?n FM33,,350
674,FM34,TAKA,Rubber V Belt TAKA FM34,CR.FMT.034.TA,86.4,401032,TAKA tr?n FM34,,350
675,FM35,TAKA,Rubber V Belt TAKA FM35,CR.FMT.035.TA,88.9,401032,TAKA tr?n FM35,,350
676,FM36,TAKA,Rubber V Belt TAKA FM36,CR.FMT.036.TA,91.4,401032,TAKA tr?n FM36,,300
677,FM37,TAKA,Rubber V Belt TAKA FM37,CR.FMT.037.TA,94,401032,TAKA tr?n FM37,,300
678,FM38,TAKA,Rubber V Belt TAKA FM38,CR.FMT.038.TA,96.5,401032,TAKA tr?n FM38,,300
679,FM39,TAKA,Rubber V Belt TAKA FM39,CR.FMT.039.TA,99.1,401032,TAKA tr?n FM39,,300
680,FM40,TAKA,Rubber V Belt TAKA FM40,CR.FMT.040.TA,101.6,401032,TAKA tr?n FM40,,300
681,FM41,TAKA,Rubber V Belt TAKA FM41,CR.FMT.041.TA,104.1,401032,TAKA tr?n FM41,,250
682,FM42,TAKA,Rubber V Belt TAKA FM42,CR.FMT.042.TA,106.7,401032,TAKA tr?n FM42,,250
683,FM43,TAKA,Rubber V Belt TAKA FM43,CR.FMT.043.TA,109.2,401032,TAKA tr?n FM43,,250
684,FM44,TAKA,Rubber V Belt TAKA FM44,CR.FMT.044.TA,111.8,401032,TAKA tr?n FM44,,250
685,FM45,TAKA,Rubber V Belt TAKA FM45,CR.FMT.045.TA,114.3,401032,TAKA tr?n FM45,,250
686,FM46,TAKA,Rubber V Belt TAKA FM46,CR.FMT.046.TA,116.8,401032,TAKA tr?n FM46,,250
687,FM47,TAKA,Rubber V Belt TAKA FM47,CR.FMT.047.TA,119.4,401032,TAKA tr?n FM47,,250
688,FM48,TAKA,Rubber V Belt TAKA FM48,CR.FMT.048.TA,121.9,401032,TAKA tr?n FM48,,250
689,FM49,TAKA,Rubber V Belt TAKA FM49,CR.FMT.049.TA,124.5,401032,TAKA tr?n FM49,,250
690,FM50,TAKA,Rubber V Belt TAKA FM50,CR.FMT.050.TA,127,401032,TAKA tr?n FM50,,250
691,DH1100-100,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI DH1100-100,CR.DH.1100.YAMA,110,401032,YAMATACHI DH1100-100,,10
692,DH900-67,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI DH900-67,CR.DH.900/67.YAMA,90,401032,YAMATACHI DH900,,20
693,RECMF-6200,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6200,CR.AR.020.YAMA,50.8,401039,YAMATACHI r?ng A20,,220
694,RECMF-6210,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6210,CR.AR.021.YAMA,53.3,401039,YAMATACHI r?ng A21,,220
695,RECMF-6220,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6220,CR.AR.022.YAMA,55.9,401039,YAMATACHI r?ng A22,,220
696,RECMF-6230,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6230,CR.AR.023.YAMA,58.4,401039,YAMATACHI r?ng A23,,200
697,RECMF-6240,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6240,CR.AR.024.YAMA,61,401032,YAMATACHI r?ng A24,,200
698,RECMF-6250,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6250,CR.AR.025.YAMA,63.5,401032,YAMATACHI r?ng A25,,200
699,RECMF-6260,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6260,CR.AR.026.YAMA,66,401032,YAMATACHI r?ng A26,,200
700,RECMF-6270,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6270,CR.AR.027.YAMA,68.6,401032,YAMATACHI r?ng A27,,130
701,RECMF-6280,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6280,CR.AR.028.YAMA,71.1,401032,YAMATACHI r?ng A28,,130
702,RECMF-6290,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6290,CR.AR.029.YAMA,73.7,401032,YAMATACHI r?ng A29,,130
703,RECMF-6300,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6300,CR.AR.030.YAMA,76.2,401032,YAMATACHI r?ng A30,,130
704,RECMF-6310,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6310,CR.AR.031.YAMA,78.7,401032,YAMATACHI r?ng A31,,130
705,RECMF-6320,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6320,CR.AR.032.YAMA,81.3,401032,YAMATACHI r?ng A32,,130
706,RECMF-6330,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6330,CR.AR.033.YAMA,83.8,401032,YAMATACHI r?ng A33,,130
707,RECMF-6340,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6340,CR.AR.034.YAMA,86.4,401032,YAMATACHI r?ng A34,,130
708,RECMF-6350,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6350,CR.AR.035.YAMA,88.9,401032,YAMATACHI r?ng A35,,130
709,RECMF-6360,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6360,CR.AR.036.YAMA,91.4,401032,YAMATACHI r?ng A36,,150
710,RECMF-6370,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6370,CR.AR.037.YAMA,94,401032,YAMATACHI r?ng A37,,150
711,RECMF-6380,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6380,CR.AR.038.YAMA,96.5,401032,YAMATACHI r?ng A38,,150
712,RECMF-6390,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6390,CR.AR.039.YAMA,99.1,401032,YAMATACHI r?ng A39,,150
713,RECMF-6400,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6400,CR.AR.040.YAMA,101.6,401032,YAMATACHI r?ng A40,,150
714,RECMF-6410,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6410,CR.AR.041.YAMA,104.1,401032,YAMATACHI r?ng A41,,150
715,RECMF-6420,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6420,CR.AR.042.YAMA,106.7,401032,YAMATACHI r?ng A42,,150
716,RECMF-6430,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6430,CR.AR.043.YAMA,109.2,401032,YAMATACHI r?ng A43,,150
717,RECMF-6440,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6440,CR.AR.044.YAMA,111.8,401032,YAMATACHI r?ng A44,,150
718,RECMF-6450,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6450,CR.AR.045.YAMA,114.3,401032,YAMATACHI r?ng A45,,150
719,RECMF-6460,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6460,CR.AR.046.YAMA,116.8,401032,YAMATACHI r?ng A46,,150
720,RECMF-6470,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6470,CR.AR.047.YAMA,119.4,401032,YAMATACHI r?ng A47,,120
721,RECMF-6480,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6480,CR.AR.048.YAMA,121.9,401032,YAMATACHI r?ng A48,,120
722,RECMF-6490,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6490,CR.AR.049.YAMA,124.5,401032,YAMATACHI r?ng A49,,120
723,RECMF-6500,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6500,CR.AR.050.YAMA,127,401032,YAMATACHI r?ng A50,,120
724,RECMF-6510,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6510,CR.AR.051.YAMA,129.5,401032,YAMATACHI r?ng A51,,120
725,RECMF-6520,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6520,CR.AR.052.YAMA,132.1,401032,YAMATACHI r?ng A52,,120
726,RECMF-6530,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6530,CR.AR.053.YAMA,134.6,401032,YAMATACHI r?ng A53,,120
727,RECMF-6540,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6540,CR.AR.054.YAMA,137.2,401032,YAMATACHI r?ng A54,,120
728,RECMF-6550,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6550,CR.AR.055.YAMA,139.7,401032,YAMATACHI r?ng A55,,120
729,RECMF-6560,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6560,CR.AR.056.YAMA,142.2,401032,YAMATACHI r?ng A56,,120
730,RECMF-6570,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6570,CR.AR.057.YAMA,144.8,401032,YAMATACHI r?ng A57,,120
731,RECMF-6580,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6580,CR.AR.058.YAMA,147.3,401032,YAMATACHI r?ng A58,,120
732,RECMF-6590,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6590,CR.AR.059.YAMA,149.9,401032,YAMATACHI r?ng A59,,120
733,RECMF-6600,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6600,CR.AR.060.YAMA,152.4,401032,YAMATACHI r?ng A60,,120
734,RECMF-6610,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6610,CR.AR.061.YAMA,154.9,401032,YAMATACHI r?ng A61,,120
735,RECMF-6620,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6620,CR.AR.062.YAMA,157.5,401032,YAMATACHI r?ng A62,,110
736,RECMF-6630,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6630,CR.AR.063.YAMA,160,401032,YAMATACHI r?ng A63,,110
737,RECMF-6640,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6640,CR.AR.064.YAMA,162.6,401032,YAMATACHI r?ng A64,,110
738,RECMF-6650,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6650,CR.AR.065.YAMA,165.1,401032,YAMATACHI r?ng A65,,110
739,RECMF-6660,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6660,CR.AR.066.YAMA,167.6,401032,YAMATACHI r?ng A66,,110
740,RECMF-6670,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6670,CR.AR.067.YAMA,170.2,401032,YAMATACHI r?ng A67,,110
741,RECMF-6680,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6680,CR.AR.068.YAMA,172.7,401032,YAMATACHI r?ng A68,,100
742,RECMF-6690,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6690,CR.AR.069.YAMA,175.3,401032,YAMATACHI r?ng A69,,100
743,RECMF-6700,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6700,CR.AR.070.YAMA,177.8,401032,YAMATACHI r?ng A70,,100
744,RECMF-6710,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6710,CR.AR.071.YAMA,180.3,401034,YAMATACHI r?ng A71,,100
745,RECMF-6720,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6720,CR.AR.072.YAMA,182.9,401034,YAMATACHI r?ng A72,,100
746,RECMF-6730,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6730,CR.AR.073.YAMA,185.4,401034,YAMATACHI r?ng A73,,100
747,RECMF-6740,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6740,CR.AR.074.YAMA,188,401034,YAMATACHI r?ng A74,,90
748,RECMF-6750,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6750,CR.AR.075.YAMA,190.5,401034,YAMATACHI r?ng A75,,90
749,RECMF-6760,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6760,CR.AR.076.YAMA,193,401034,YAMATACHI r?ng A76,,90
750,RECMF-6770,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6770,CR.AR.077.YAMA,195.6,401034,YAMATACHI r?ng A77,,90
751,RECMF-6780,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6780,CR.AR.078.YAMA,198.1,401034,YAMATACHI r?ng A78,,90
752,RECMF-6790,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6790,CR.AR.079.YAMA,200.7,401034,YAMATACHI r?ng A79,,90
753,RECMF-6800,YAMATACHI,Rubber Belt (V-Ribbed) YAMATACHI RECMF-6800,CR.AR.080.YAMA,203.2,401034,YAMATACHI r?ng A80,,90
