"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
34,RECMF-8630,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8630,CR.BR.063.TAPRO,160,401032,TAKA PRO r?ng B63,,55
35,RECMF-8640,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8640,CR.BR.064.TAPRO,162.6,401032,TAKA PRO r?ng B64,,55
36,RECMF-8650,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8650,CR.BR.065.TAPRO,165.1,401032,TAKA PRO r?ng B65,,55
37,RECMF-8660,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8660,CR.BR.066.TAPRO,167.6,401032,TAKA PRO r?ng B66,,55
38,RECMF-8670,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8670,CR.BR.067.TAPRO,170.2,401032,TAKA PRO r?ng B67,,55
39,RECMF-8680,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8680,CR.BR.068.TAPRO,172.7,401032,TAKA PRO r?ng B68,,55
40,RECMF-8690,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8690,CR.BR.069.TAPRO,175.3,401032,TAKA PRO r?ng B69,,55
41,RECMF-8700,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8700,CR.BR.070.TAPRO,177.8,401032,TAKA PRO r?ng B70,,50
42,RECMF-8710,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8710,CR.BR.071.TAPRO,180.3,401034,TAKA PRO r?ng B71,,50
43,RECMF-8720,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8720,CR.BR.072.TAPRO,182.9,401034,TAKA PRO r?ng B72,,50
44,RECMF-8730,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8730,CR.BR.073.TAPRO,185.4,401034,TAKA PRO r?ng B73,,50
45,RECMF-8740,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8740,CR.BR.074.TAPRO,188,401034,TAKA PRO r?ng B74,,50
46,RECMF-8750,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8750,CR.BR.075.TAPRO,190.5,401034,TAKA PRO r?ng B75,,50
47,RECMF-8760,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8760,CR.BR.076.TAPRO,193,401034,TAKA PRO r?ng B76,,50
48,RECMF-8770,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8770,CR.BR.077.TAPRO,195.6,401034,TAKA PRO r?ng B77,,50
49,RECMF-8780,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8780,CR.BR.078.TAPRO,198.1,401034,TAKA PRO r?ng B78,,50
50,RECMF-8790,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8790,CR.BR.079.TAPRO,200.7,401034,TAKA PRO r?ng B79,,50
51,RECMF-8800,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8800,CR.BR.080.TAPRO,203.2,401034,TAKA PRO r?ng B80,,45
52,RECMF-8810,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8810,CR.BR.081.TAPRO,205.7,401034,TAKA PRO r?ng B81,,45
53,RECMF-8820,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8820,CR.BR.082.TAPRO,208.3,401034,TAKA PRO r?ng B82,,45
54,RECMF-8830,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8830,CR.BR.083.TAPRO,210.8,401034,TAKA PRO r?ng B83,,45
55,RECMF-8840,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8840,CR.BR.084.TAPRO,213.4,401034,TAKA PRO r?ng B84,,45
56,RECMF-8850,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8850,CR.BR.085.TAPRO,215.9,401034,TAKA PRO r?ng B85,,45
57,RECMF-8860,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8860,CR.BR.086.TAPRO,218.4,401034,TAKA PRO r?ng B86,,45
58,RECMF-8870,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8870,CR.BR.087.TAPRO,221,401034,TAKA PRO r?ng B87,,45
59,RECMF-8880,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8880,CR.BR.088.TAPRO,223.5,401034,TAKA PRO r?ng B88,,45
60,RECMF-8890,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8890,CR.BR.089.TAPRO,226.1,401034,TAKA PRO r?ng B89,,45
61,RECMF-8900,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8900,CR.BR.090.TAPRO,228.6,401034,TAKA PRO r?ng B90,,45
62,RECMF-8910,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8910,CR.BR.091.TAPRO,231.1,401034,TAKA PRO r?ng B91,,40
63,RECMF-8920,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8920,CR.BR.092.TAPRO,233.7,401034,TAKA PRO r?ng B92,,40
64,RECMF-8930,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8930,CR.BR.093.TAPRO,236.2,401034,TAKA PRO r?ng B93,,40
65,RECMF-8940,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8940,CR.BR.094.TAPRO,238.8,401034,TAKA PRO r?ng B94,,40
66,RECMF-8950,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8950,CR.BR.095.TAPRO,241.3,401039,TAKA PRO r?ng B95,,30
67,RECMF-8960,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8960,CR.BR.096.TAPRO,243.8,401039,TAKA PRO r?ng B96,,30
68,RECMF-8970,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8970,CR.BR.097.TAPRO,246.4,401039,TAKA PRO r?ng B97,,30
69,RECMF-8980,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8980,CR.BR.098.TAPRO,248.9,401039,TAKA PRO r?ng B98,,30
70,RECMF-8990,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-8990,CR.BR.099.TAPRO,251.5,401039,TAKA PRO r?ng B99,,30
71,RECMF-9640,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-9640,CR.CR.064.TAPRO,162.6,401032,TAKA PRO r?ng C64,,40
72,RECMF-9750,TAKA PRO,Rubber Belt (V-Ribbed) TAKA PRO RECMF-9750,CR.CR.075.TAPRO,190.5,401034,TAKA PRO r?ng C75,,35
